Term,Course,Question,Agree strongly,Agree,Agree Somewhat,Neutral,Disagree Somewhat,Disagree,Disagree Strongly,n,meanscore_prof,meanscore_univ
S20,113-07,6b. Recommend Course to another student,4,5,2,1,0,0,2,14,5.285714285714286,5.819999999999999
S20,113-07,6c. Instructor was an effective teacher,6,4,1,1,0,0,1,13,5.846153846153846,6.03
S20,213-01,1. Course has been a valuable educational experience,12,4,0,0,0,0,0,16,6.75,5.989999999999999
S20,213-01,2. Effectively Organized,13,3,0,0,0,0,0,16,6.8125,5.92
S20,213-01,3. Environment Conducive to Learning,12,2,1,0,1,0,0,16,6.5,6.069999999999999
S20,213-01,5a. Fair Assessment of Student work,8,6,1,0,1,0,0,16,6.25,5.82
S20,213-01,5b. Timely Assessment of Student Work,9,6,0,1,0,0,0,16,6.4375,5.77
S20,213-01,5c. Constructive Assessment of Student Work,8,5,2,0,1,0,0,16,6.1875,5.91
S20,213-01,6a. Recommend Instructor to another student,11,4,0,0,1,0,0,16,6.5,5.9799999999999995
S20,213-01,6b. Recommend Course to another student,8,6,1,1,0,0,0,16,6.3125,5.819999999999999
S20,213-01,6c. Instructor was an effective teacher,10,4,1,1,0,0,0,16,6.4375,6.03
F20,113-03,1. Course has been a valuable educational experience,7,6,2,1,1,0,0,17,6,5.989999999999999
F20,113-03,2. Effectively Organized,10,5,1,1,0,0,0,17,6.411764705882352,5.92
F20,113-03,3. Environment Conducive to Learning,8,6,1,0,1,1,0,17,6,6.069999999999999
F20,113-03,5a. Fair Assessment of Student work,8,7,0,0,2,0,0,17,6.117647058823529,5.82
F20,113-03,5b. Timely Assessment of Student Work,9,7,1,0,0,0,0,17,6.470588235294118,5.77
F20,113-03,5c. Constructive Assessment of Student Work,8,6,1,1,1,0,0,17,6.11764705882353,5.91
F20,113-03,6a. Recommend Instructor to another student,8,6,1,0,0,2,0,17,5.9411764705882355,5.9799999999999995
F20,113-03,6b. Recommend Course to another student,7,6,3,0,0,1,0,17,6,5.819999999999999
F20,113-03,6c. Instructor was an effective teacher,6,6,2,0,1,1,0,16,5.8125,6.03
F20,113-04,1. Course has been a valuable educational experience,7,7,4,0,0,0,0,18,6.166666666666666,5.989999999999999
F20,113-04,2. Effectively Organized,9,5,2,0,0,0,0,16,6.4375,5.92
F20,113-04,3. Environment Conducive to Learning,10,7,0,1,0,0,0,18,6.444444444444445,6.069999999999999
F20,113-04,5a. Fair Assessment of Student work,7,6,2,3,0,0,0,18,5.944444444444445,5.82
F20,113-04,5b. Timely Assessment of Student Work,9,5,2,2,0,0,0,18,6.166666666666667,5.77
F20,113-04,5c. Constructive Assessment of Student Work,8,4,2,4,0,0,0,18,5.888888888888889,5.91
F20,113-04,6a. Recommend Instructor to another student,12,3,2,1,0,0,0,18,6.444444444444445,5.9799999999999995
F20,113-04,6b. Recommend Course to another student,9,5,1,3,0,0,0,18,6.111111111111112,5.819999999999999
F20,113-04,6c. Instructor was an effective teacher,11,4,2,1,0,0,0,18,6.388888888888888,6.03
F20,234-01,1. Course has been a valuable educational experience,14,6,0,0,0,0,0,20,6.7,5.989999999999999
F20,234-01,2. Effectively Organized,17,2,1,0,0,0,0,20,6.8,5.92
F20,234-01,3. Environment Conducive to Learning,14,6,0,0,0,0,0,20,6.7,6.069999999999999
F20,234-01,5a. Fair Assessment of Student work,11,6,3,0,0,0,0,20,6.4,5.82
F20,234-01,5b. Timely Assessment of Student Work,17,2,1,0,0,0,0,20,6.8,5.77
F20,234-01,5c. Constructive Assessment of Student Work,13,5,2,0,0,0,0,20,6.55,5.91
F20,234-01,6a. Recommend Instructor to another student,13,7,0,0,0,0,0,20,6.65,5.9799999999999995
F20,234-01,6b. Recommend Course to another student,14,5,0,1,0,0,0,20,6.6000000000000005,5.819999999999999
F20,234-01,6c. Instructor was an effective teacher,14,6,0,0,0,0,0,20,6.7,6.03
S21,113-04,1. Course has been a valuable educational experience,8,9,3,1,0,1,1,23,5.739130434782609,5.989999999999999
S21,113-04,2. Effectively Organized,12,7,1,3,0,0,0,23,6.217391304347825,5.92
S21,113-04,3. Environment Conducive to Learning,9,7,5,1,1,0,0,23,5.956521739130435,6.069999999999999
S21,113-04,5a. Fair Assessment of Student work,7,11,4,1,0,0,0,23,6.043478260869565,5.82
S21,113-04,5b. Timely Assessment of Student Work,7,13,2,1,0,0,0,23,6.130434782608696,5.77
S21,113-04,5c. Constructive Assessment of Student Work,7,8,5,2,1,0,0,23,5.782608695652174,5.91
S21,113-04,6a. Recommend Instructor to another student,12,6,3,0,0,2,0,23,6.043478260869565,5.9799999999999995
S21,113-04,6b. Recommend Course to another student,10,7,3,1,1,0,1,23,5.869565217391305,5.819999999999999
S21,113-04,6c. Instructor was an effective teacher,11,7,3,2,0,0,0,23,6.173913043478261,6.03
S21,113-05,1. Course has been a valuable educational experience,9,8,4,0,0,0,0,21,6.238095238095238,5.989999999999999
S21,113-05,2. Effectively Organized,12,7,2,0,0,0,0,21,6.476190476190476,5.92
S21,113-05,3. Environment Conducive to Learning,11,7,2,0,0,0,0,20,6.45,6.069999999999999
S21,113-05,5a. Fair Assessment of Student work,5,10,4,2,0,0,0,21,5.857142857142858,5.82
S21,113-05,5b. Timely Assessment of Student Work,5,8,5,3,0,0,0,21,5.714285714285714,5.77
S21,113-05,5c. Constructive Assessment of Student Work,4,9,5,3,0,0,0,21,5.666666666666667,5.91
S21,113-05,6a. Recommend Instructor to another student,10,8,2,0,0,0,0,20,6.4,5.9799999999999995
S21,113-05,6b. Recommend Course to another student,9,8,2,2,0,0,0,21,6.142857142857142,5.819999999999999
S21,113-05,6c. Instructor was an effective teacher,11,6,3,0,0,0,0,20,6.4,6.03
S21,213-01,1. Course has been a valuable educational experience,12,7,1,0,0,1,0,21,6.333333333333333,5.989999999999999
S21,213-01,2. Effectively Organized,12,6,2,0,0,0,0,20,6.5,5.92
S21,213-01,3. Environment Conducive to Learning,13,7,0,0,0,0,0,20,6.65,6.069999999999999
S21,213-01,5a. Fair Assessment of Student work,8,7,5,0,0,1,0,21,5.952380952380952,5.82
S21,213-01,5b. Timely Assessment of Student Work,17,3,1,0,0,0,0,21,6.761904761904762,5.77
S21,213-01,5c. Constructive Assessment of Student Work,10,9,1,1,0,0,0,21,6.333333333333334,5.91
S21,213-01,6a. Recommend Instructor to another student,14,5,2,0,0,0,0,21,6.571428571428572,5.9799999999999995
S21,213-01,6b. Recommend Course to another student,11,6,3,1,0,0,0,21,6.285714285714286,5.819999999999999
S21,213-01,6c. Instructor was an effective teacher,13,6,1,0,1,0,0,21,6.428571428571429,6.03
F21,113-03,1. Course has been a valuable educational experience,7,12,2,0,0,1,0,22,6.045454545454545,5.989999999999999
F21,113-03,2. Effectively Organized,15,6,1,0,0,0,0,22,6.636363636363637,5.92
F21,113-03,3. Environment Conducive to Learning,11,9,2,0,0,0,0,22,6.409090909090909,6.069999999999999
F21,113-03,5a. Fair Assessment of Student work,9,12,0,1,0,0,0,22,6.318181818181818,5.82
F21,113-03,5b. Timely Assessment of Student Work,11,10,1,0,0,0,0,22,6.454545454545454,5.77
F21,113-03,5c. Constructive Assessment of Student Work,9,11,1,1,0,0,0,22,6.2727272727272725,5.91
F21,113-03,6a. Recommend Instructor to another student,17,5,0,0,0,0,0,22,6.7727272727272725,5.9799999999999995
F21,113-03,6b. Recommend Course to another student,9,12,0,0,0,1,0,22,6.2272727272727275,5.819999999999999
F21,113-03,6c. Instructor was an effective teacher,17,5,0,0,0,0,0,22,6.7727272727272725,6.03
F21,113-04,1. Course has been a valuable educational experience,10,13,0,1,0,0,0,24,6.333333333333333,5.989999999999999
F21,113-04,2. Effectively Organized,18,5,1,0,0,0,0,24,6.708333333333333,5.92
F21,113-04,3. Environment Conducive to Learning,10,12,2,0,0,0,0,24,6.333333333333333,6.069999999999999
F21,113-04,5a. Fair Assessment of Student work,11,11,1,0,1,0,0,24,6.291666666666667,5.82
F21,113-04,5b. Timely Assessment of Student Work,15,9,0,0,0,0,0,24,6.625,5.77
F21,113-04,5c. Constructive Assessment of Student Work,12,8,3,1,0,0,0,24,6.291666666666667,5.91
F21,113-04,6a. Recommend Instructor to another student,17,6,1,0,0,0,0,24,6.666666666666666,5.9799999999999995
F21,113-04,6b. Recommend Course to another student,13,10,1,0,0,0,0,24,6.499999999999999,5.819999999999999
F21,113-04,6c. Instructor was an effective teacher,18,5,1,0,0,0,0,24,6.708333333333333,6.03
F21,234-01,1. Course has been a valuable educational experience,14,4,0,0,0,0,0,18,6.777777777777778,5.989999999999999
F21,234-01,2. Effectively Organized,17,1,0,0,0,0,0,18,6.944444444444444,5.92
F21,234-01,3. Environment Conducive to Learning,10,6,1,1,0,0,0,18,6.388888888888889,6.069999999999999
F21,234-01,5a. Fair Assessment of Student work,12,6,0,0,0,0,0,18,6.666666666666667,5.82
F21,234-01,5b. Timely Assessment of Student Work,15,3,0,0,0,0,0,18,6.833333333333333,5.77
F21,234-01,5c. Constructive Assessment of Student Work,10,8,0,0,0,0,0,18,6.555555555555555,5.91
F21,234-01,6a. Recommend Instructor to another student,15,2,1,0,0,0,0,18,6.777777777777778,5.9799999999999995
F21,234-01,6b. Recommend Course to another student,12,5,1,0,0,0,0,18,6.611111111111112,5.819999999999999
F21,234-01,6c. Instructor was an effective teacher,15,2,1,0,0,0,0,18,6.777777777777778,6.03
S22,113-01,1. Course has been a valuable educational experience,12,9,0,1,0,0,0,22,6.454545454545455,5.989999999999999
S22,113-01,2. Effectively Organized,19,2,1,0,0,0,0,22,6.818181818181819,5.92
S22,113-01,3. Environment Conducive to Learning,14,6,1,0,0,0,0,21,6.6190476190476195,6.069999999999999
S22,113-01,5a. Fair Assessment of Student work,11,7,1,2,0,1,0,22,6.090909090909091,5.82
S22,113-01,5b. Timely Assessment of Student Work,15,3,3,0,1,0,0,22,6.409090909090909,5.77
S22,113-01,5c. Constructive Assessment of Student Work,12,8,1,1,0,0,0,22,6.409090909090909,5.91
S22,113-01,6a. Recommend Instructor to another student,15,5,1,0,1,0,0,22,6.5,5.9799999999999995
S22,113-01,6b. Recommend Course to another student,11,7,2,2,0,0,0,22,6.227272727272727,5.819999999999999
S22,113-01,6c. Instructor was an effective teacher,16,5,0,1,0,0,0,22,6.636363636363636,6.03
S22,113-02,1. Course has been a valuable educational experience,7,18,1,0,0,0,0,26,6.230769230769231,5.989999999999999
S22,113-02,2. Effectively Organized,17,8,0,1,0,0,0,26,6.5769230769230775,5.92
S22,113-02,3. Environment Conducive to Learning,14,10,1,1,0,0,0,26,6.423076923076923,6.069999999999999
S22,113-02,5a. Fair Assessment of Student work,10,13,2,0,0,0,0,25,6.32,5.82
S22,113-02,5b. Timely Assessment of Student Work,16,8,0,0,1,0,0,25,6.5200000000000005,5.77
S22,113-02,5c. Constructive Assessment of Student Work,13,8,2,1,1,0,0,25,6.240000000000001,5.91
S22,113-02,6a. Recommend Instructor to another student,17,6,2,0,0,0,0,25,6.6,5.9799999999999995
S22,113-02,6b. Recommend Course to another student,14,7,3,0,1,0,0,25,6.319999999999999,5.819999999999999
S22,113-02,6c. Instructor was an effective teacher,18,7,1,0,0,0,0,26,6.653846153846154,6.03
S22,4005-01,1. Course has been a valuable educational experience,10,7,0,0,0,0,0,17,6.588235294117647,5.989999999999999
S22,4005-01,2. Effectively Organized,13,3,0,1,0,0,0,17,6.647058823529411,5.92
S22,4005-01,3. Environment Conducive to Learning,10,6,0,1,0,0,0,17,6.470588235294117,6.069999999999999
S22,4005-01,5a. Fair Assessment of Student work,8,7,1,1,0,0,0,17,6.294117647058823,5.82
S22,4005-01,5b. Timely Assessment of Student Work,11,6,0,0,0,0,0,17,6.647058823529411,5.77
S22,4005-01,5c. Constructive Assessment of Student Work,8,7,2,0,0,0,0,17,6.352941176470588,5.91
S22,4005-01,6a. Recommend Instructor to another student,12,3,1,0,1,0,0,17,6.470588235294118,5.9799999999999995
S22,4005-01,6b. Recommend Course to another student,10,7,0,0,0,0,0,17,6.588235294117647,5.819999999999999
S22,4005-01,6c. Instructor was an effective teacher,11,4,0,1,1,0,0,17,6.352941176470589,6.03
